,Pret_Raw,Full_Description,Suprafata_Utila,Nr_Camere,An_Constructie,Zona
66,160 000 €,"eri | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 12 | 160 000 € | 1634 €/m² | Recomandam! Locuinta cu 3 camere in bloc nou, finisat complet, etaj 1 | Soseaua Barnova, Bucium, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 97.9 m² | Etaj | 1 etajul | Vezi descrierea anunțului | casa-alba.ro - din 2001
Impartim bucuria de a fi acasa!

Agentia Imobiliara Casa Alba va prezinta spre vanzare o locuinta finisata complet, cu 3 camere decomandat, pozitionata intr-un imobil nou cu... | Agentia Imobiliara Casa Alba | Agenție imobiliară",97.9,3.0,2001.0,Soseaua Barnova
68,160 000 €,"eri | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 12 | 160 000 € | 1634 €/m² | Aici este acasa! Locuinta noua cu 3 camere, finisat complet, etaj 1 | Soseaua Barnova, Bucium, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 97.9 m² | Etaj | 1 etajul | Vezi descrierea anunțului | casa-alba.ro - din 2001
Impartim bucuria de a fi acasa!

Agentia Imobiliara Casa Alba va prezinta spre vanzare o locuinta finisata complet, cu 3 camere decomandat, pozitionata intr-un imobil nou cu... | Agentia Imobiliara Casa Alba | Agenție imobiliară",97.9,3.0,2001.0,Soseaua Barnova
72,124 000 €,"124 000 € | 1771 €/m² | Ap 3 Camere, 70 mp, etaj 2, bloc din 1985, Mutare Imediata, Nicolina | Nicolina 1, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 70 m² | Vezi descrierea anunțului | Apartament 3 camere, DECOMANDAT, mobilat si utilat, aflat la ETAJUL 2/4, intr-un bloc din anul 1985 din zona NicolinaApartamentul are o suprafata de aproximativ 70 mp si este compus din: camera de zi,... | Reactualizat | Greenland Imobiliare | Agenție imobiliară",70.0,3.0,1985.0,Nicolina 1
79,98 200 €,"1 |  /  | 14 | 98 200 € | 1964 €/m² | Apartament 2 camere, decomandat, 50 mp, Panoramic Residence, Valea Ada | Tudor Vladimirescu, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere, model decomandat clasic, situat in complexul rezidential Panoramic Residence, Valea Adanca. Proprietatea se afla la etajul 2 dintr-un imobil cu 3 ni... | Reactualizat | Agentia Imobiliara Express Casa | Agenție imobiliară",50.0,2.0,1964.0,Tudor Vladimirescu
83,128 715 €,"1 |  /  | 13 | 128 715 € | 2404 €/m² | Aprilie 2026! Ideal Investiție, apartament 53 mp, Royal Town Iași | Agronomie, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 53.55 m² | Etaj | 7 etajul | Vezi descrierea anunțului | Vă propunem pentru achiziție un apartament ideal pentru investiție cu priveliștea cea mai râvnită din complexul Royal Town.Apartamentul are 1 cameră și suprafața totală de 53,55  mp, este situat la et... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",53.0,1.0,2026.0,Agronomie
85,110 000 €,"1 |  /  | 9 | 110 000 € | 2535 €/m² | Direct Dezvoltator,  apartament nou, finalizare Aprilie 2026 | Agronomie, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 43.4 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Gustul dimineții e mai dulce când te trezește vecinul tău - natura!Trăim în viteză și atașați de pulsul viu al orașului în timpul zilei, însă unde duc drumurile gândurilor tale la sfârșit de zi, când ... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",43.4,1.0,2026.0,Agronomie
86,128 160 €,"1 |  /  | 20 | 128 160 € | 2000 €/m² | Finalizat! Apartament 2 camere, direct dezvoltator , Royal Town, Iasi | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 64.08 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Ești în căutarea unei locuințe finalizate, în cea mai frumoasă zonă a Copoului?Îți propunem un apartament finalizat în 2025 cu 2 camere, decomandat, la etajul 5/8 cu suprafața totală de 64 mp.Apartame... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",64.08,2.0,2000.0,Agronomie
87,170 760 €,"1 |  /  | 11 | 170 760 € | 2000 €/m² | Finalizat!Apartament de vanzare, 3 camere decomandat, Iasi-Copou | Agronomie, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 85.38 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Proiectat pentru iubitorii de natură și persoane dinamice, cu posibilități ample de personalizare a spațiului, ansamblul rezidențial ROYAL TOWN îți oferă un mediu care reflectă personalitatea și stilu... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",85.38,3.0,2000.0,Agronomie
89,138 000 €,"1 |  /  | 10 | 138 000 € | 1999 €/m² | Finalizat! Apartament 2 camere complex nou Royal Town Iasi | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 69.03 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Vino să te muți în inima verde a orașului pe înălțimile Copoului într-un apartament cu 2 camere,  în ansamblul rezidențial Royal Town.Alegerea căminului perfect este una dintre cele mai împlinitoare d... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",69.03,2.0,1999.0,Agronomie
93,149 900 €,"1 |  /  | 21 | 149 900 € | 1985 €/m² | Apartament 3 Camere - Comat Towers - 75.5 Mp - Mobilat / Finalizat | Dacia, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 75.5 m² | Etaj | 1 etajul | Vezi descrierea anunțului | *149.900 Euro pentru modalitatea de plată integrală (preț fără TVA)**Apartamentul se vinde mobilat și utilat**Preț mobilier + electrocasnice: 30.000 EuroAnsamblul rezidențial Comat Towers propune spre... | Reactualizat | Comat Towers | Agenție imobiliară",75.5,3.0,1985.0,Dacia
100,138 000 €,"1 |  /  | 12 | 138 000 € | 2000 €/m² | Finalizat! Apartament 2 camere decomandat, Royal Town Copou | Agronomie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 69 m² | Etaj | 8 etajul | Vezi descrierea anunțului | Vino să te muți în inima verde a orașului, pe înălțimile Copoului într-un apartament cu 2 camere, în ansamblul rezidențial Royal Town.Știm că nu doar exteriorul contează, așadar te conducem spre inter... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",69.0,2.0,2000.0,Agronomie
103,43 000 €,"cum 3 zile | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 12 | 43 000 € | 1536 €/m² | STEJARILOR RESIDENCE - Apartament 1 camera + curte | Predare 2026 | CUG, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 28 m² | Etaj | parter | Vezi descrierea anunțului | Profită de ofertă la Stejarilor Residence, Lunca Cetățuii - Iași!*PLATIM NOI TAXELE NOTARIALE!ATENTIE! Oferta limitatăPOZE REALE cu caracter informativ (din imobilele finalizate)*Apartamentele nu se p... | Reactualizat | Stejarilor Residence | Dezvoltator",28.0,1.0,2026.0,CUG
104,165 480 €,"1 |  /  | 18 | 165 480 € | 2530 €/m² | Apartament 3 camere nou, Royal Town,Copou (predare aprilie 2026) | Agronomie, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 65.4 m² | Etaj | parter | Vezi descrierea anunțului | Vino să te muți în inima verde a orașului pe înălțimile Copoului, într-un apartament cu 3 camere din cadrul ansamblului rezidențial Royal Town.Suntem pregătiți să îți punem la dispoziție o echipă de s... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",65.4,3.0,2026.0,Agronomie
105,111 000 €,"1 |  /  | 17 | 111 000 € | 2313 €/m² | Predare Aprilie 2026! Priveliște deosebită, Royal Town Copou | Agronomie, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 48 m² | Etaj | 7 etajul | Vezi descrierea anunțului | Vă propunem pentru achiziție un apartament ideal pentru investiție cu priveliștea cea mai râvnită din complexul Royal Town.Apartamentul are 1 cameră și suprafața totală de 47.77 mp, este situat la eta... | Reactualizat | Dezvoltator Royal Town | Agenție imobiliară",48.0,1.0,2026.0,Agronomie
108,122 000 €,"cum 4 zile | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 11 | 122 000 € | 2179 €/m² | Apartament cu 2 camere decomandat zona Nicolina Catedrala Catolică et1 | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 56 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament cu 2 camere decomandat zona Nicolina Catedrala Catolică bloc din 1985 lângă bulevard etajul 1 din 4 ,suprafață 56mp ,amenajat complet, centrala termica proprie pvc bloc izolat exterior mobi... | Reactualizat | Rezident Imobiliare | Agenție imobiliară",56.0,2.0,1985.0,Podu Ros
110,85 000 €,"cum 4 zile | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 17 | 85 000 € | 1574 €/m² | APARTAMENT 2 CAMERE, BLOC NOU, PARTER, 54 MP, MALL MOLDOVA, NEGOCIABIL | Valea Lupului, Valea Lupului, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | parter | Vezi descrierea anunțului | Va propun spre cumparare un apartament cu 2 camere, situat la parterul unui bloc nou construit in anul 2024, localizat in zona Valea Lupului avand in proximitate toate utilitatile: magazine, scoli, gr... | Reactualizat | Plus Imobiliare | Agenție imobiliară",54.0,2.0,2024.0,Valea Lupului
121,140 000 €,"cum 2 zile | ... | ... | ... | ... | 1 |  /  | 7 | 140 000 € | 2545 €/m² | Apartament decomandat 3 camere Cuza-Voda | Strada Cuza Voda, Centru, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 55 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Agentia imobiliara Central Casa din Iasi va recomanda spre achizitionare un apartament decomandat, amplasat central in zona Cuza-Voda, intr-un bloc din 1962:- este situat la etajul 2 din 3 niveluri- c... | Central Casa | Agenție imobiliară",55.0,3.0,1962.0,Strada Cuza Voda
122,130 000 €,"cum 2 zile | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 130 000 € | 1688 €/m² | Apartament cu 2 camere, 77 mp, loc de parcare, Bucium | Bucium, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 77 m² | Etaj | 4 etajul | Vezi descrierea anunțului | BLITZ propune spre vânzare un apartament decomandat cu 2 camere, situat la etajul 4, în zona Bucium, într-un bloc construit în 2001. Locuința beneficiază de loc de parcare și oferă o priveliste frumoa... | BLITZ | Agenție imobiliară",77.0,2.0,2001.0,Bucium
124,86 000 €,"cum 2 zile | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 21 | 86 000 € | 1755 €/m² | 2 camere zona Tătărași lângă școală nr .4 Ionel Teodoreanu | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 49 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Va propunem spre vanzare apartament de 2 camere zona Tatarasi langa Scoala Ionel Teodoreanu.Blocul, construit pe cadre din beton in anul 2009, termoizolat si dispune de acces securizat cu bariera.Casa... | Regal Casa | Agenție imobiliară",49.0,2.0,2009.0,Tatarasi Sud
129,84 800 €,"cum 2 zile | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 10 | 84 800 € | 1600 €/m² | Dacia - la bulevard 2 camere decomandat, etaj intermediar, liber | Dacia, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Dacia - la bulevard 2 camere decomandat, etaj intermediar, liberVa propunem spre vanzare un apartament decomandat situat la etajul 3 din 8 intr-un bloc construit in anul 1980 cu lift nou schimbat, sup... | Top Imobil | Agenție imobiliară",53.0,2.0,1980.0,Dacia
133,175 000 €,"cum 2 zile | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 16 | 175 000 € | 2465 €/m² | Apartament de vanzare, 3 camere, decomandat, zona Gara, Iasi | Gara, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 71 m² | Etaj | 6 etajul | Vezi descrierea anunțului | Va propunem spre achizitie un apartament cu 3 camere si 2 bai, cu o suprafata de 71 mp, situat la etajul 6 dintr-un bloc cu 8 etaje construit in anul 1985 in zona Garii, Iasi. Apartamentul se afla int... | INVEST IMOBILIARE | Agenție imobiliară",71.0,3.0,1985.0,Apartament de vanzare
135,97 500 €,"cum 2 zile | ... | 1 |  /  | 2 | 97 500 € | 2248 €/m² | Apartament 2 camere- Podul de fier | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 43.37 m² | Etaj | parter | Vezi descrierea anunțului | Agentia Invest Imobiliare va propune spre vanzare un apartament cu 2 camere de tip decomandat in zona Podul de Fier. Imobilul este situat la Parter intr-un bloc cu 4 etaje,  din 1982,avand suprafata u... | INVEST IMOBILIARE | Agenție imobiliară",43.37,2.0,1982.0,Tatarasi Nord
